#,model,make,vehicle class(GTA V/GTA Online),type,style,capacity,price,website,type,appears in,variant(s),similar vehicle(s)
0,BR8,Benefactor,Open Wheel,Race car,Single seat formula car,1,"$3,400,000 #(Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,DR1#PR4#R88
1,DR1,Declasse,Open Wheel,Race car,Single seat IndyCar,1,"$2,997,000 #(Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,BR8#PR4#R88
2,PR4,Progen#Dinka (Engine),Open Wheel,Race car,Single seat formula car,1,"$3,515,000 #(Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,R88#BR8#DR1#F1#Ferocious 312#Formula R
3,R88,Ocelot,Open Wheel,Race car,Single seat formula car,1,"$3,115,000#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,PR4#BR8#DR1#F1#Ferocious 312#Formula R
4,811,Pfister,Super,Civilian car,Hypercar,2,"$1,135,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Comet#Comet SR
5,Autarch,Överflöd,Super,Civilian car,Hypercar,2,"$1,955,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Emerus#Entity XF#X80 Proto#Entity XXR#Tyrant
6,Adder,Truffade,Super,Civilian car,Hypercar,2,"$1,000,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Nero#Thrax
7,Banshee 900R,Bravado,Super,Civilian car,2-door wide-body car,2,"$565,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Banshee#Sultan RS#Itali GTB Custom#Specter Custom
8,Bullet,Vapid (HD Universe),Super,Civilian car,Two-door sports coupe,2,"$84,000 (GTA San Andreas)#(Exports and Imports)#$155,000 (GTA Online)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto: San Andreas#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Monroe
9,Cheetah,Grotti (HD Universe),Super,Civilian car,2-door sports car (3D Universe)#2-door supercar (GTA V),2,"$84,000 (GTA San Andreas) (Exports and Imports)#$650,000 (GTA V) (Legendary Motorsport)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,VCPD Cheetah,Cheetah Classic#Turismo Classic#Turismo R#Turismo
10,Cyclone,Coil,Super,Civilian car,Electric hypercar,2,"$1,890,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Voltic#Khamelion
11,Deveste Eight,Principe,Super,Concept Car,Hypercar,2,"$1,795,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,X80 Proto#Visione#Tezeract
12,Emerus,Progen,Super,Civilian car,Supercar,2,"$2,750,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,T20#Krieger#Autarch
13,Entity XF,Entity,Super,Civilian car,Super car,2,"$795,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Entity XXR,Autarch#Tyrant
